Field,Description,Type,Coverage,Users,Alphas
anl44_2_bps_coveredby,bps coveredby,VECTOR,79%,36,52
anl44_2_bps_lastactccy,Currency code (ISO 4217) for the last known estimate value,VECTOR,76%,9,11
anl44_2_bps_lastactvalue,"Last known estimate value before this event, often the prior published value",VECTOR,72%,9,13
anl44_2_bps_prevalue,Previous estimate value before the current revision/change,VECTOR,76%,10,13
anl44_2_bps_value,Current estimate value for Book Value Per Share from this event,VECTOR,79%,22,31
anl44_2_capex_coveredby,Identifier for the regime or coverage for the CAPEX estimate event,VECTOR,79%,10,12
anl44_2_capex_lastactccy,Currency code of the last CAPEX estimate value (ISO 4217),VECTOR,76%,7,10
anl44_2_capex_lastactvalue,Most recent prior CAPEX estimate value before the current event,VECTOR,73%,6,6
anl44_2_capex_prevalue,Previous CAPEX estimate value before the current revision,VECTOR,76%,10,13
anl44_2_capex_value,Current CAPEX estimate value for the event,VECTOR,79%,7,9
anl44_2_cfps_coveredby,cfps coveredby,VECTOR,68%,13,44
anl44_2_cfps_lastactccy,Currency code for the last known CFPS estimate,VECTOR,65%,2,2
anl44_2_cfps_lastactvalue,Last known CFPS estimate value before the current event,VECTOR,60%,3,3
anl44_2_cfps_prevalue,Previous estimate value immediately before the current revision event,VECTOR,65%,5,6
anl44_2_cfps_value,Current analyst estimate value for Cash Flow Per Share,VECTOR,68%,2,2
anl44_2_dps_coveredby,Identifier indicating which regime or policy covers the DPS estimate event,VECTOR,78%,2,2
anl44_2_dps_lastactccy,"Currency code of the last reported DPS value, in ISO 4217 format",VECTOR,76%,3,3
anl44_2_dps_lastactvalue,Previous or last reported value for DPS before the current event,VECTOR,70%,1,1
anl44_2_dps_prevalue,Previous DPS estimate value before the current revision/event,VECTOR,61%,1,1
anl44_2_dps_value,Current estimate value reported for Dividends Per Share (DPS),VECTOR,78%,8,10
anl44_2_ebit_coveredby,String indicating regime or coverage regime; helps track which regime the event/estimate belongs to,VECTOR,94%,1,1
anl44_2_ebit_lastactccy,Currency code for the last known EBIT estimate (ISO 4217 format),VECTOR,91%,0,0
anl44_2_ebit_lastactvalue,"Most recent EBIT estimate before the current event, often prior published or final value",VECTOR,89%,0,0
anl44_2_ebit_prevalue,"Previous EBIT estimate value directly before the current event, useful for measuring revision size",VECTOR,93%,0,0
anl44_2_ebit_value,Current estimated value of EBIT,VECTOR,94%,2,2
anl44_2_ebitda_coveredby,String identifier indicating the coverage regime or regime status for the estimate event,VECTOR,85%,0,0
anl44_2_ebitda_lastactccy,Currency code (ISO 4217) in which the last known estimate value was reported,VECTOR,82%,0,0
anl44_2_ebitda_lastactvalue,The most recent known value for the estimate prior to the current or latest event/revision,VECTOR,77%,1,1
anl44_2_ebitda_prevalue,"Previous value of the EBITDA estimate before the current event, enables tracking of revisions",VECTOR,83%,0,0
anl44_2_ebitda_source,ebitda source,VECTOR,81%,12,21
anl44_2_ebitda_value,Current value of the EBITDA estimate,VECTOR,85%,0,0
anl44_2_ebitdaps_coveredby,Identifier of the coverage regime or regime under which this event is reported,VECTOR,42%,0,0
anl44_2_ebitdaps_lastactccy,Currency code corresponding to the last known estimate value,VECTOR,42%,1,4
anl44_2_ebitdaps_lastactvalue,Value of the last known EBITDA per share estimate before the current event,VECTOR,36%,0,0
anl44_2_ebitdaps_prevalue,Previous EBITDA per share estimate value before this event (shows revision magnitude),VECTOR,40%,3,4
anl44_2_ebitdaps_value,Current analyst estimate value for EBITDAPS,VECTOR,42%,2,3
anl44_2_eps_coveredby,"Regime or coverage identifier for the EPS event, helps regime linkage",VECTOR,96%,2,3
anl44_2_eps_lastactccy,Currency code of the last published EPS estimate,VECTOR,93%,1,1
anl44_2_eps_lastactvalue,Value of the most recent EPS estimate before the current event,VECTOR,92%,0,0
anl44_2_eps_prevalue,Previous EPS estimate value before the current event,VECTOR,95%,3,4
anl44_2_eps_value,Current EPS estimate value,VECTOR,96%,1,1
anl44_2_epsr_coveredby,epsr coveredby,VECTOR,93%,11,12
anl44_2_epsr_lastactccy,"Currency code for the last known/published estimate value, follows ISO 4217",VECTOR,91%,5,8
anl44_2_epsr_lastactvalue,Most recent EPSR estimate value before the current event,VECTOR,90%,6,6
anl44_2_epsr_prevalue,Previous EPSR estimate value immediately before the current event,VECTOR,93%,8,38
anl44_2_epsr_value,"Current estimate value for EPS (or relevant indicator), numeric",VECTOR,93%,12,35
anl44_2_fcfps_coveredby,fcfps coveredby,VECTOR,53%,3,4
anl44_2_fcfps_lastactccy,Currency code (ISO 4217) for the last reported FCFPS estimate before the current event,VECTOR,49%,3,4
anl44_2_fcfps_lastactvalue,Last recorded Free Cash Flow Per Share value before the current event,VECTOR,43%,1,1
anl44_2_fcfps_prevalue,Previous value of the FCFPS estimate before revision,VECTOR,50%,1,1
anl44_2_fcfps_value,Current value of the FCFPS estimate,VECTOR,53%,1,1
anl44_2_grossmargin_coveredby,Coverage or regime linkage indicator specifying the coverage regime for the gross margin event,VECTOR,77%,3,7
anl44_2_grossmargin_lastactccy,Currency code (ISO 4217) in which the last gross margin estimate value was denominated,VECTOR,69%,6,10
anl44_2_grossmargin_lastactvalue,Last known gross margin estimate value prior to the current event,VECTOR,61%,5,9
anl44_2_grossmargin_prevalue,Previous gross margin estimate value prior to the current revision,VECTOR,61%,5,5
anl44_2_grossmargin_value,Current gross margin estimate value for the event,VECTOR,77%,5,5
anl44_2_nav_coveredby,nav coveredby,VECTOR,80%,1,1
anl44_2_nav_lastactccy,Currency code (ISO) used for reporting the last NAV value,VECTOR,80%,2,2
anl44_2_nav_lastactvalue,Value of NAV at the time of the most recent prior update before this event,VECTOR,77%,8,9
anl44_2_nav_prevalue,Previous NAV estimate value before the current event (shows revision),VECTOR,75%,4,4
anl44_2_nav_value,The current NAV estimate value,VECTOR,80%,0,0
anl44_2_netdebt_coveredby,Regime or coverage regime identifier for linkage and validation,VECTOR,73%,1,1
anl44_2_netdebt_lastactccy,Currency code for the most recent prior estimate value,VECTOR,69%,1,1
anl44_2_netdebt_lastactvalue,Most recent NETDEBT estimate value prior to the current event,VECTOR,64%,3,4
anl44_2_netdebt_prevalue,"Previous estimate value before this event, used to indicate revision",VECTOR,67%,3,3
anl44_2_netdebt_value,Current estimate value for Net Debt,VECTOR,73%,4,4
anl44_2_netprofit_broker,netprofit broker,VECTOR,93%,8,8
anl44_2_netprofit_coveredby,Regime or coverage indicator identifying the regime under which the estimate is covered,VECTOR,95%,0,0
anl44_2_netprofit_lastactccy,Currency code (ISO 4217) of the last known net profit estimate value,VECTOR,93%,0,0
anl44_2_netprofit_lastactvalue,Value of the last known net profit estimate prior to the current event,VECTOR,92%,1,1
anl44_2_netprofit_prevalue,Previous value of the net profit estimate prior to the current event,VECTOR,95%,1,1
anl44_2_netprofit_rep_coveredby,Regime or coverage identifier linking the event to a coverage regime or delay regime,VECTOR,93%,7,9
anl44_2_netprofit_rep_lastactccy,"Currency code for the last net profit value, according to ISO 4217",VECTOR,90%,8,9
anl44_2_netprofit_rep_lastactvalue,"The last known net profit estimate before the current event, often the previously published value",VECTOR,89%,5,7
anl44_2_netprofit_rep_prevalue,Previous net profit estimate value before the current revision,VECTOR,92%,5,5
anl44_2_netprofit_rep_value,Current value of the net profit estimate or report,VECTOR,93%,12,18
anl44_2_netprofit_source,netprofit source,VECTOR,91%,8,14
anl44_2_netprofit_value,Current value of the net profit estimate for the event,VECTOR,95%,0,0
anl44_2_operatingprofit_coveredby,operatingprofit coveredby,VECTOR,31%,1,1
anl44_2_operatingprofit_lastactccy,Currency code used for the last known operating profit estimate value,VECTOR,31%,3,3
anl44_2_operatingprofit_lastactvalue,operatingprofit lastactvalue,VECTOR,6%,1,2
anl44_2_operatingprofit_prevalue,operatingprofit prevalue,VECTOR,21%,0,0
anl44_2_operatingprofit_value,Current estimate value for operating profit,VECTOR,31%,1,1
anl44_2_pretaxprofit_coveredby,pretaxprofit coveredby,VECTOR,94%,1,1
anl44_2_pretaxprofit_lastactccy,Currency code of the last known estimate value (ISO 4217 format),VECTOR,91%,1,1
anl44_2_pretaxprofit_lastactvalue,Last recorded value of pre-tax profit estimate before current event or revision,VECTOR,88%,0,0
anl44_2_pretaxprofit_prevalue,Previous estimate value before the current event—quantifies revision magnitude,VECTOR,94%,0,0
anl44_2_pretaxprofit_rep_coveredby,Regime or coverage identifier indicating the regime under which the pretax profit estimate is submitted,VECTOR,88%,5,7
anl44_2_pretaxprofit_rep_lastactccy,ISO currency code for the last acted (prior) pretax profit estimate,VECTOR,86%,8,11
anl44_2_pretaxprofit_rep_lastactvalue,Last known pretax profit estimate value prior to this event,VECTOR,84%,6,10
anl44_2_pretaxprofit_rep_prevalue,Previous pretax profit estimate value directly before the current event,VECTOR,86%,6,8
anl44_2_pretaxprofit_rep_value,Current pretax profit estimate value provided in this event,VECTOR,88%,1,1
anl44_2_pretaxprofit_value,"Current estimate value for pre-tax profit (numeric, float)",VECTOR,94%,14,15
anl44_2_roa_coveredby,Regime or coverage regime identifier linked to this ROA event,VECTOR,70%,1,1
anl44_2_roa_lastactccy,"Currency code for the last reported ROA estimate prior to the current event, ISO 4217",VECTOR,68%,1,1
anl44_2_roa_lastactvalue,Most recent ROA estimate value before this event,VECTOR,62%,5,5
anl44_2_roa_prevalue,Previous ROA estimate value before the current event,VECTOR,64%,0,0
anl44_2_roa_value,Current ROA estimate value (numeric),VECTOR,70%,2,2
anl44_2_roe_coveredby,"Code or regime identifier marking coverage logic for this ROE event, useful for regime analysis",VECTOR,81%,3,6
anl44_2_roe_lastactccy,Currency code (ISO 4217) for last known ROE estimate value before the current event,VECTOR,79%,2,2
anl44_2_roe_lastactvalue,Last known ROE estimate value prior to the current event; the previously published or revised ROE,VECTOR,72%,2,3
anl44_2_roe_prevalue,"Previous analyst estimate value for ROE, prior to the current event or revision",VECTOR,75%,3,4
anl44_2_roe_value,"Current analyst estimate for Return on Equity (ROE), as of this event",VECTOR,81%,2,2
anl44_2_sales_coveredby,Coverage regime or identifier indicating which regulatory/data regime governs this sales event,VECTOR,96%,0,0
