Field,Description,Type,Coverage,Users,Alphas
close_return_quantile_1_1day,Continuous predicted 1-day forward close-to-close return from the earnings calendar CNN prediction model,MATRIX,100%,48,64
high_return_quantile_1_1day,Assignment of the stock to quantile 1 based on predicted high-to-high 1-day return.,MATRIX,100%,12,14
likelihood_quantile_5_group_0_50day_return,Log-probability confidence (log-softmax) of the stock-date belonging to quantile 0 (0-based) out of 5 quantile buckets for 50-day forward earnings calendar prediction,MATRIX,99%,0,0
likelihood_quantile_5_group_2_50day_return,Log-probability confidence (log-softmax) of the stock-date belonging to quantile 2 (0-based) out of 5 quantile buckets for 50-day forward earnings calendar prediction,MATRIX,99%,0,0
low_return_quantile_1_1day,Assignment of the stock to quantile 1 based on predicted low-to-low 1-day return.,MATRIX,100%,9,11
open_return_quantile_1_1day,Assignment of the stock to quantile 1 based on predicted open-to-open 1-day return.,MATRIX,100%,9,11
prob_quantile_2_bucket_0_10day_return,Log-probability (log-softmax confidence) that the stock-date belongs to the bottom half quantile (index 0) in a 2-way return quantile split at 10-day forward horizon,MATRIX,99%,0,0
prob_quantile_2_bucket_0_20day_return,Log-probability that the stock-date belongs to the lower half (quantile 0) in a 2-quantile forward return prediction at 20-day horizon,MATRIX,99%,1,1
prob_quantile_2_bucket_0_50day_return,Log-probability confidence (log-softmax) of the stock-date belonging to quantile 0 (0-based) out of 2 quantile buckets for 50-day forward earnings calendar prediction,MATRIX,99%,1,1
prob_quantile_2_bucket_0_5day_return,Log-probability (log-softmax) confidence that the stock is in the 0th quantile bucket (lowest half) for 2-way quantile split of 5-day forward return prediction,MATRIX,99%,1,1
prob_quantile_2_bucket_0_5day_volatility,Log-probability of belonging to the bottom half quantile (quantile 0 of 2) for 5-day forward return prediction,MATRIX,99%,0,0
prob_quantile_2_bucket_1_10day_return,Log-probability confidence for being in the top half quantile (quantile 1 out of 2) for 10-day forward return prediction in earnings calendar image prediction module,MATRIX,99%,1,1
prob_quantile_2_bucket_1_20day_return,Log-probability (log-softmax confidence) that the stock-date belongs to the upper half (quantile 1) in a 2-quantile forward return prediction at 20-day horizon,MATRIX,99%,2,2
prob_quantile_2_bucket_1_50day_return,Log-probability confidence (log-softmax) of the stock-date belonging to quantile 1 (0-based) out of 2 quantile buckets for 50-day forward earnings calendar prediction,MATRIX,99%,1,1
prob_quantile_2_bucket_1_5day_return,Log-probability confidence that the stock is in the 1st quantile bucket (top half) for 2-way quantile split of 5-day forward return prediction,MATRIX,100%,5,6
prob_quantile_2_bucket_1_5day_volatility,Log-probability of belonging to the top half quantile (quantile 1 of 2) for 5-day forward return prediction,MATRIX,99%,1,1
prob_quantile_3_bucket_0_10day_return,Log-probability confidence for being in the bottom quantile (quantile 0 out of 3) for 10-day forward return prediction in earnings calendar image prediction module,MATRIX,99%,1,2
prob_quantile_3_bucket_0_20day_return,Log-probability (log-softmax confidence) that the stock's 20-day forward return is in the lowest quantile (index 0) when split into 3 quantiles,MATRIX,99%,3,3
prob_quantile_3_bucket_0_50day_return,Probability that the stock falls into bucket 0 of quantile 3 for predicted 50-day return.,MATRIX,99%,1,1
prob_quantile_3_bucket_0_5day_return,Log-probability confidence for the stock belonging to the 0th quantile (bottom bucket in 3-way split) of 5-day forward return prediction,MATRIX,99%,1,1
prob_quantile_3_bucket_0_5day_volatility,Log-probability of belonging to the bottom third quantile (quantile 0 of 3) for 5-day forward return prediction,MATRIX,99%,0,0
prob_quantile_3_bucket_1_10day_return,Log-probability confidence for being in the middle quantile (quantile 1 out of 3) for 10-day forward return prediction in earnings calendar image prediction module,MATRIX,99%,0,0
prob_quantile_3_bucket_1_20day_return,Log-probability (log-softmax confidence) that the stock's 20-day forward return is in the second quantile (index 1) when split into 3 quantiles,MATRIX,100%,1,1
prob_quantile_3_bucket_1_50day_return,Probability that the stock falls into bucket 1 of quantile 3 for predicted 50-day return.,MATRIX,99%,2,2
prob_quantile_3_bucket_1_5day_return,Log-probability confidence for the stock belonging to the 1st quantile (middle bucket in 3-way split) of 5-day forward return prediction,MATRIX,100%,0,0
prob_quantile_3_bucket_1_5day_volatility,Log-softmax confidence score that the stock belongs to the 1st quantile bucket out of 3 (0-based) for the 5-day forward return prediction in the earnings calendar prediction module,MATRIX,99%,1,1
prob_quantile_3_bucket_2_10day_return,Log-probability (log-softmax confidence) that the stock-date belongs to the top quantile (index 2) in a 3-way return quantile split at 10-day forward horizon,MATRIX,99%,3,4
prob_quantile_3_bucket_2_20day_return,Log-probability that the stock-date belongs to the top third quantile (quantile 2) out of 3 for 20-day forward return prediction,MATRIX,99%,1,1
prob_quantile_3_bucket_2_50day_return,Probability that the stock falls into bucket 2 of quantile 3 for predicted 50-day return.,MATRIX,99%,0,0
prob_quantile_3_bucket_2_5day_return,Probability that the stock falls into bucket 2 of quantile 3 for predicted 5-day return.,MATRIX,99%,1,1
prob_quantile_3_bucket_2_5day_volatility,Log-softmax confidence score that the stock belongs to the 2nd quantile bucket out of 3 (0-based) for the 5-day forward return prediction in the earnings calendar prediction module,MATRIX,100%,0,0
prob_quantile_4_bucket_0_10day_return,Log-probability confidence for being in the bottom quantile (quantile 0 out of 4) for 10-day forward return prediction in earnings calendar image prediction module,MATRIX,99%,4,4
prob_quantile_4_bucket_0_20day_return,Log-probability (log-softmax confidence) that the stock's 20-day forward return is in the lowest quantile (index 0) when split into 4 quantiles,MATRIX,99%,0,0
prob_quantile_4_bucket_0_50day_return,Log-probability confidence (log-softmax) of the stock-date belonging to quantile 0 (0-based) out of 4 quantile buckets for 50-day forward earnings calendar prediction,MATRIX,99%,0,0
prob_quantile_4_bucket_0_5day_return,Probability that the stock falls into bucket 0 of quantile 4 for predicted 5-day return.,MATRIX,99%,0,0
prob_quantile_4_bucket_0_5day_volatility,Log-probability of belonging to the lowest quartile (quantile 0 of 4) for 5-day forward return prediction,MATRIX,99%,1,1
prob_quantile_4_bucket_1_10day_return,Log-probability (log-softmax confidence) that the stock-date belongs to the 2nd quantile (index 1) in a 4-way return quantile split at 10-day forward horizon,MATRIX,99%,1,1
