Field,Description,Type,Coverage,Users,Alphas
aerospace_defense_score,Score indicating exposure to aerospace and defense sector.,MATRIX,100%,3,5
airline_industry_score,Daily exposure of each stock to the Airlines industry factor in the MFMCR universal risk model,MATRIX,100%,1,1
aluminum_steel_producers_score,Score indicating exposure to aluminum and steel production sector.,MATRIX,100%,1,1
apparel_accessories_score,Score reflecting exposure to apparel and accessories sector.,MATRIX,100%,1,2
automobile_manufacturing_score,Score reflecting exposure to automobile manufacturing sector.,MATRIX,100%,0,0
banking_services_score,Daily stock exposures to the Banks industry factor,MATRIX,100%,0,0
beverage_tobacco_score,Score indicating exposure to beverage and tobacco sector.,MATRIX,100%,0,0
biotechnology_life_sciences_score,Score reflecting exposure to biotechnology and life sciences sector.,MATRIX,100%,0,0
broad_market_factor_score_2,Daily stock exposures to the broad Market factor,MATRIX,100%,0,0
building_products_score,Daily stock exposures to the Building Products industry factor,MATRIX,100%,0,0
chemicals_sector_score,Daily stock exposures to the Chemicals industry factor,MATRIX,100%,0,0
commercial_equipment_score,Score indicating exposure to commercial equipment and supplies sector.,MATRIX,100%,0,0
communication_services_score,Score reflecting exposure to communication services sector.,MATRIX,100%,0,0
computer_electronics_score,Score reflecting exposure to computer and electronics manufacturing sector.,MATRIX,100%,0,0
conglomerate_sector_score,Score indicating exposure to diversified conglomerate companies.,MATRIX,100%,0,0
construction_engineering_score,Daily stock exposures to the Construction & Engineering industry factor,MATRIX,100%,0,0
construction_machinery_score,Score reflecting exposure to construction machinery and heavy equipment sector.,MATRIX,100%,0,0
construction_materials_score,Daily stock exposures to the Construction Materials industry factor,MATRIX,100%,1,1
container_packaging_score,Score indicating exposure to container and packaging sector.,MATRIX,100%,1,1
discount_store_retail_score,"Daily specific (idiosyncratic) returns for stocks, in percent",MATRIX,100%,5,6
distribution_services_score,Score representing exposure to distribution and wholesale services sector.,MATRIX,100%,0,0
diversified_financials_score,Score indicating exposure to diversified financial services sector.,MATRIX,100%,0,0
electric_utilities_score,Daily stock exposures to the Electric Utilities industry factor,MATRIX,100%,0,0
electrical_equipment_score,Score reflecting exposure to electrical equipment manufacturing sector.,MATRIX,100%,0,0
