Field,Description,Type,Coverage,Users,Alphas
opt40_01vhp,Historical Parkinson volatility for approximately 10 calendar days,MATRIX,98%,39,104
opt40_021vh,Historical close-to-close volatility for approximately 120 calendar days,MATRIX,98%,34,89
opt40_021vhp,Parkinson historical volatility over last 120 trading days; annualized %,MATRIX,98%,29,87
opt40_02vh,Historical close-to-close volatility for approximately 20 calendar days,MATRIX,98%,18,92
opt40_02vhp,Annualized historical Parkinson volatility (based on high‑low prices) over approximately the prior 20 days,MATRIX,98%,20,59
opt40_03vh,Historical volatility over last 30 trading days; annualized %,MATRIX,98%,18,49
opt40_03vhp,Annualized historical Parkinson volatility (based on high‑low prices) over approximately the prior 30 days,MATRIX,98%,21,80
opt40_051vh,Historical close-to-close volatility for approximately 150 calendar days,MATRIX,98%,25,69
opt40_051vhp,Historical Parkinson volatility for approximately 150 calendar days,MATRIX,98%,36,98
opt40_06vh,Historical close-to-close volatility for approximately 60 calendar days,MATRIX,98%,21,72
opt40_06vhp,Historical Parkinson volatility for approximately 60 calendar days,MATRIX,98%,25,79
opt40_081vh,Historical close-to-close volatility for approximately 180 calendar days,MATRIX,98%,25,69
opt40_081vhp,Historical Parkinson volatility for approximately 180 calendar days,MATRIX,98%,24,76
opt40_09vh,Annualized historical close‑to‑close realized volatility over approximately the prior 90 days,MATRIX,98%,20,68
opt40_09vhp,Historical Parkinson volatility for approximately 90 calendar days,MATRIX,98%,29,151
opt40_call_delta_122days,Delta of the standardized call option at 122 days to expiry on the OptionMetrics standard surface,MATRIX,97%,85,205
opt40_call_delta_152days,Delta of the call option at 152 days to expiry (price sensitivity per $1 move in the underlying),MATRIX,97%,20,30
opt40_call_delta_182days,Delta (price sensitivity to underlying) of call options at 182 days to expiry from the OptionMetrics standardized surface,MATRIX,97%,28,33
opt40_call_delta_273days,Delta (price sensitivity to underlying) of call options at 273 days to expiry from the OptionMetrics standardized surface,MATRIX,97%,27,34
opt40_call_delta_365days,Delta (sensitivity of option price to underlying price) for the 365-day tenor call option,MATRIX,97%,21,29
opt40_call_delta_730days,Delta (sensitivity of option price to underlying price) for the 730-day tenor call option,MATRIX,97%,29,30
opt40_call_forwardprice_122days,Forward price used for the 122-day tenor call option gridpoint (model forward at that maturity),MATRIX,97%,15,27
opt40_call_forwardprice_152days,Forward price of the underlying used for the call option surface at 152 days to expiry,MATRIX,97%,7,7
opt40_call_forwardprice_182days,182-day forward price of the underlying used for the call option point on the OptionMetrics standard surface,MATRIX,97%,4,4
opt40_call_forwardprice_273days,Forward price of the underlying used for the call option surface at 273 days to expiry,MATRIX,97%,12,14
opt40_call_forwardprice_547days,Model-implied forward price of the underlying at 547 days to expiry used for the standardized call on the OptionMetrics standard surface,MATRIX,97%,4,4
opt40_call_forwardprice_730days,Forward price of the underlying corresponding to the standardized call option at 730 days to expiry from the OptionMetrics surface,MATRIX,97%,8,9
opt40_call_forwardprice_91days,91-day forward price of the underlying used for the call option point on the OptionMetrics standard surface,MATRIX,97%,6,7
opt40_call_gamma_122days,Gamma (sensitivity of delta to underlying) for call options at 122 days to expiry from the OptionMetrics standardized surface,MATRIX,97%,4,7
opt40_call_gamma_182days,Gamma (sensitivity of delta to price changes) of the standardized call option at 182 days to expiry on the OptionMetrics standard surface,MATRIX,97%,5,5
opt40_call_gamma_273days,Gamma (second derivative of option price with respect to underlying price) for the 273-day tenor call option,MATRIX,97%,13,15
opt40_call_gamma_30days,Gamma (sensitivity of delta to price changes) of the standardized call option at 30 days to expiry on the OptionMetrics standard surface,MATRIX,97%,4,4
opt40_call_gamma_60days,Gamma for call options with 60 days to expiration.,MATRIX,97%,10,21
