Field,Description,Type,Coverage,Users,Alphas
ask_order_deletion_count,Number of ask-side order deletions/cancellations during the day,VECTOR,73%,2,3
ask_order_execution_count,Number of execution events that filled resting ask-side orders during the day,VECTOR,73%,0,0
ask_order_insertion_count_2,Number of new limit order insert events on the ask side during the day,VECTOR,73%,0,0
ask_order_modification_count,"Number of modification events (e.g., size changes) on the ask side during the day",VECTOR,73%,0,0
ask_order_replacement_count,Number of order replacement events on the ask side during the day,VECTOR,73%,0,0
ask_order_volume_after_modification_2,Refers to the total volume of modified ask orders,VECTOR,73%,0,0
ask_order_volume_after_replacement,Refers to the total volume of replaced ask orders,VECTOR,73%,1,1
ask_order_volume_before_modification,Refers to the total volume of modified ask orders,VECTOR,73%,0,0
ask_order_volume_change_modification,Refers to the total change in volume of ask orders due to orders being modified.,VECTOR,73%,0,0
ask_order_volume_change_replacement,Refers to the total change in volume of ask orders due to orders being replaced.,VECTOR,73%,0,0
ask_order_volume_deleted,Total share volume removed via cancellations on the ask side during the day,VECTOR,73%,3,3
ask_order_volume_executed,Total share volume executed from resting ask-side orders during the day,VECTOR,73%,1,1
ask_trade_imbalance_1_level,"Refers to the volume of aggressive asks executed 1 level or more away from the best offer, as a percentage of the total volume traded in that period.",VECTOR,73%,0,0
ask_trade_imbalance_2_levels,"Refers to the volume of aggressive asks executed 2 levels or more away from the best offer, as a percentage of the total volume traded in that period.",VECTOR,73%,0,0
ask_trade_imbalance_3_levels,"Refers to the volume of aggressive asks executed 3 levels or more away from the best offer, as a percentage of the total volume traded in that period.",VECTOR,73%,0,0
ask_trade_imbalance_all_levels,Refers to the volume of aggressive asks executed as a percentage of the total volume traded in that period.,VECTOR,73%,0,0
auction_order_imbalance_absolute,Refers to the excess volume after the closing auction that stays on the book after the auction execution. This is the volume of bid orders at  the crossing price minus the volume of ask orders at the crossing price.,VECTOR,72%,0,0
auction_order_imbalance_notional,Refers to the excess notional volume after the closing auction that stays on the book after the auction execution. This is the notional volume of bid orders at the crossing price minus the notional volume of ask orders at the crossing price.,VECTOR,72%,1,1
auction_order_imbalance_pct_adv,Closing auction order imbalance expressed as a percentage of the stock’s Average Daily Volume,VECTOR,72%,0,0
auction_order_imbalance_pct_auction,Refers to the excess volume after the closing auction that stays on the book after the auction execution as a percentage of volume traded during the auction. This is the volume of bid orders at the crossing price minus the volume of ask orders at the crossing price.,VECTOR,71%,0,0
avg_rest_time_ask_cancelled_lvl1,Refers to the mean resting time (in seconds) of ask orders placed at the 1st level of the book which were subsequently cancelled.,VECTOR,73%,0,0
avg_rest_time_ask_cancelled_lvl2,Average resting time in seconds for ask-side orders at depth level 2 away from the EBBO that were cancelled,VECTOR,73%,0,0
avg_rest_time_ask_cancelled_lvl3,Average time in seconds that ask-side limit orders resting 3 levels away from the EBBO remained on the book before being cancelled,VECTOR,73%,0,0
avg_rest_time_ask_cancelled_lvl4,Refers to the mean resting time (in seconds) of ask orders placed at the 4th level of the book which were subsequently cancelled.,VECTOR,73%,0,0
avg_rest_time_ask_cancelled_lvl5,Refers to the mean resting time (in seconds) of ask orders placed at the 5th level of the book which were subsequently cancelled.,VECTOR,73%,0,0
avg_rest_time_ask_filled_lvl1,Refers to the mean resting time (in seconds) of ask orders placed at the 1st level of the book which were subsequently completely filled.,VECTOR,73%,0,0
avg_rest_time_ask_filled_lvl2,Average resting time in seconds for ask-side orders at depth level 2 away from the EBBO that were fully filled,VECTOR,73%,0,0
avg_rest_time_ask_filled_lvl3,Average resting time in seconds for ask-side orders at depth level 3 away from the EBBO that were fully filled,VECTOR,73%,0,0
avg_rest_time_ask_filled_lvl4,Refers to the mean resting time (in seconds) of ask orders placed at the 4th level of the book which were subsequently completely filled.,VECTOR,72%,0,0
avg_rest_time_ask_filled_lvl5,Refers to the mean resting time (in seconds) of ask orders placed at the 5th level of the book which were subsequently completely filled.,VECTOR,72%,0,0
avg_rest_time_ask_partial_lvl1,Refers to the mean resting time (in seconds) of ask orders placed at the 1st level of the book which were subsequently partially filled.,VECTOR,73%,0,0
avg_rest_time_ask_partial_lvl2,Average resting time in seconds for ask-side orders at depth level 2 away from the EBBO that were partially filled,VECTOR,73%,0,0
avg_rest_time_ask_partial_lvl3,Average resting time in seconds for ask-side orders at depth level 3 away from the EBBO that were partially filled,VECTOR,73%,0,0
avg_rest_time_ask_partial_lvl4,Average time in seconds that ask-side limit orders resting 4 levels away from the EBBO remained on the book before being partially filled,VECTOR,72%,0,0
avg_rest_time_ask_partial_lvl5,Average time in seconds that ask-side limit orders resting 5 levels away from the EBBO remained on the book before being partially filled,VECTOR,72%,0,0
avg_rest_time_bid_cancelled_lvl1,Average time in seconds that bid-side limit orders resting 1 level away from the EBBO remained on the book before being cancelled,VECTOR,73%,1,1
avg_rest_time_bid_cancelled_lvl2,Average resting time in seconds for bid-side orders at depth level 2 away from the EBBO that were cancelled,VECTOR,73%,0,0
avg_rest_time_bid_cancelled_lvl3,Refers to the mean resting time (in seconds) of bid orders placed at the 3rd level of the book which were subsequently cancelled.,VECTOR,73%,0,0
avg_rest_time_bid_cancelled_lvl4,Refers to the mean resting time (in seconds) of bid orders placed at the 4th level of the book which were subsequently cancelled.,VECTOR,73%,0,0
avg_rest_time_bid_cancelled_lvl5,Refers to the mean resting time (in seconds) of bid orders placed at the 5th level of the book which were subsequently cancelled.,VECTOR,73%,0,0
avg_rest_time_bid_filled_lvl1,Average time in seconds that bid-side limit orders resting 1 level away from the EBBO remained on the book before being fully filled,VECTOR,73%,0,0
avg_rest_time_bid_filled_lvl2,Average resting time in seconds for bid-side orders at depth level 2 away from the EBBO that were fully filled,VECTOR,73%,0,0
avg_rest_time_bid_filled_lvl3,Average resting time in seconds for bid-side orders at depth level 3 away from the EBBO that were fully filled,VECTOR,73%,1,1
avg_rest_time_bid_filled_lvl4,Refers to the mean resting time (in seconds) of bid orders placed at the 4th level of the book which were subsequently completely filled.,VECTOR,73%,1,1
avg_rest_time_bid_filled_lvl5,Average time in seconds that bid-side limit orders resting 5 levels away from the EBBO remained on the book before being fully filled,VECTOR,72%,0,0
avg_rest_time_bid_partial_lvl1,Refers to the mean resting time (in seconds) of bid orders placed at the 1st level of the book which were subsequently partially filled.,VECTOR,73%,1,1
avg_rest_time_bid_partial_lvl2,Average resting time in seconds for bid-side orders at depth level 2 away from the EBBO that were partially filled,VECTOR,73%,0,0
avg_rest_time_bid_partial_lvl3,Average time in seconds that bid-side limit orders resting 3 levels away from the EBBO remained on the book before being partially filled,VECTOR,73%,0,0
avg_rest_time_bid_partial_lvl4,Refers to the mean resting time (in seconds) of bid orders placed at the 4th level of the book which were subsequently partially filled.,VECTOR,72%,0,0
avg_rest_time_bid_partial_lvl5,Refers to the mean resting time (in seconds) of bid orders placed at the 5th level of the book which were subsequently partially filled.,VECTOR,72%,0,0
bid_order_deletion_count,Number of deletion/cancellation events on the bid side during the day,VECTOR,73%,1,2
bid_order_execution_count,Number of execution events that filled resting bid-side orders during the day,VECTOR,73%,0,0
bid_order_insertion_count,Number of new limit order insert events on the bid side during the day,VECTOR,73%,0,0
bid_order_modification_count,"Number of modification events (e.g., size changes) on the bid side during the day",VECTOR,73%,0,0
bid_order_replacement_count_2,Number of order replacement events on the bid side during the day,VECTOR,73%,0,0
bid_order_volume_after_modification,Cumulative new volume (shares) set by modify events on the bid side during the day,VECTOR,73%,0,0
bid_order_volume_after_replacement,Cumulative new volume (shares) set by replace events on the bid side during the day,VECTOR,73%,0,0
bid_order_volume_before_modification,Sum of original volumes (before modification) for bid-side orders that were modified,VECTOR,73%,0,0
bid_order_volume_change_modification_2,"Cumulative change in volume (new minus old, in shares) caused by bid-side modify events during the day",VECTOR,73%,0,0
bid_order_volume_change_replacement_2,Cumulative change in volume (shares) caused by bid-side replace events during the day,VECTOR,73%,0,0
bid_order_volume_deleted,Total share volume removed via cancellations on the bid side during the day,VECTOR,73%,2,2
bid_order_volume_executed,Total share volume executed from resting bid-side orders during the day,VECTOR,73%,0,0
bid_trade_imbalance_1_level,"Refers to the volume of aggressive bids executed 1 level or more away from the best bid, as a percentage of the total volume traded in that period.",VECTOR,73%,0,0
bid_trade_imbalance_2_levels,"Refers to the volume of aggressive bids executed 2 levels or more away from the best bid, as a percentage of the total volume traded in that period.",VECTOR,73%,0,0
bid_trade_imbalance_3_levels,"Refers to the volume of aggressive bids executed 3 levels or more away from the best bid, as a percentage of the total volume traded in that period.",VECTOR,73%,0,0
bid_trade_imbalance_all_levels,Refers to the volume of aggressive bids executed as a percentage of the total volume traded in that period.,VECTOR,73%,0,0
