Field,Description,Type,Coverage,Users,Alphas
oth685_02v,Discontinued operations amount reported for the last quarter,MATRIX,43%,1,1
oth685_03v,A quantitative metric representing a specific financial or operational attribute used in company analysis.,MATRIX,72%,4,4
oth685_11v,Price to cash flow from operations ratio (Price/CFO),MATRIX,73%,3,3
oth685_12v,Quarter-over-quarter percent change in discontinued operations,MATRIX,38%,1,1
oth685_15v,A calculated indicator summarizing a particular financial or operational property of a company.,MATRIX,55%,2,2
oth685_1yf_5145h,"A financial metric or ratio relevant to company analysis, calculated for the upcoming fiscal year.",MATRIX,66%,1,1
oth685_21v,Price to free cash flow ratio (Price/FCF),MATRIX,74%,1,1
oth685_2_igaigr,The change in a company's asset base over a defined recent period.,MATRIX,62%,5,5
oth685_3_igaigr,"The rate of asset growth for a company, calculated over a defined time frame.",MATRIX,60%,1,1
oth685_4_igaigr,The percentage increase in a company's assets over a specific period.,MATRIX,56%,2,2
oth685_5_igaigr,"The asset growth rate for a company, measured over a particular interval.",MATRIX,54%,1,1
oth685_63v,Quarter-over-quarter percent change in diluted EPS from discontinued operations and extraordinary items,MATRIX,39%,0,0
oth685_72v,Quarter-over-quarter change in dividends per share (absolute),MATRIX,62%,0,0
oth685_81v,"Free cash flow yield based on enterprise value (FCF/EV, percent)",MATRIX,74%,4,4
oth685_82v,Quarter-over-quarter percent change in dividends per share,MATRIX,38%,1,1
oth685_91v,"Operating cash flow yield based on enterprise value (CFO/EV, percent)",MATRIX,74%,1,1
oth685_92v,Average historical EPS growth rate over the past 5 years,MATRIX,72%,2,2
oth685_cfroi_3,"The cash-based return on invested capital for a company, measured over a specific period.",MATRIX,62%,0,0
oth685_cfroi_4,"The cash-based return on invested capital for a company, measured over a four-year period.",MATRIX,59%,1,1
oth685_cfroi_5,"The cash-based return on invested capital for a company, measured over a five-year period.",MATRIX,55%,1,1
oth685_cfroitrn,The trend or change in a company's cash flow return on investment over time.,MATRIX,59%,1,1
oth685_cfsurq0,The cash flow generated by a company during the most recent quarter.,MATRIX,66%,1,1
oth685_coverage,Data coverage percentage.,MATRIX,59%,0,0
oth685_econaccumdep,Economic Accumulated Depreciation.,MATRIX,66%,0,0
oth685_entwdrat,Enterprise Value to Working Capital Ratio.,MATRIX,62%,0,0
oth685_epsgrow5,The average annual growth rate of earnings per share over the past five years.,MATRIX,35%,0,0
oth685_epssurpq,Earnings Per Share (EPS) surprise (quarterly).,MATRIX,66%,0,0
oth685_invgrow5,The average annual growth rate of a company's investments over the past five years.,MATRIX,60%,0,0
oth685_leveragemkt,Market Leverage.,MATRIX,62%,1,1
oth685_lvtkmvni,The total market value of a company's investments or assets.,MATRIX,54%,0,0
oth685_mktinv,Market Investment.,MATRIX,48%,1,1
oth685_prc_sale,Price to Sales ratio.,MATRIX,61%,1,1
oth685_rgdani_s,Regression Adjusted Net Income.,MATRIX,58%,3,3
oth685_roitran1,A measure of the shift in a company's return on investment during a particular period.,MATRIX,65%,0,0
oth685_roitran2,A calculated change in return on investment for a company over a specified period.,MATRIX,65%,0,0
oth685_roitrn_1,The change in return on investment for a company over a specific time frame.,MATRIX,56%,4,4
oth685_roitrn_2,The variation in return on investment for a company across a defined interval.,MATRIX,53%,2,2
oth685_s_fcf_p,Sales to Free Cash Flow per share.,MATRIX,58%,0,0
oth685_vol_his_30d_call,"The historical volatility of a company's stock price over the past 30 days, based on call option data.",MATRIX,67%,3,4
oth685_wd_ratio,Working Capital Ratio.,MATRIX,62%,0,0
