Field,Description,Type,Coverage,Users,Alphas
rsk62_1_100_intercept,"Intercept term of the multi-factor regression used to estimate combined betas in the USA risk model (1-day horizon, 100-day trailing window)",MATRIX,100%,344,1293
rsk62_1_100_ksrs,"Stock-specific idiosyncratic risk (specific risk) per stock in the USA model, for the 1-day horizon using a 100-day rolling window; reported as a risk ratio used in the sparse risk model",MATRIX,99%,140,354
rsk62_1_return,Returns,MATRIX,100%,715,2840
rsk62_5_100_intercept,Intercept term of the per-stock combined beta regression in the USA risk model using a 5-day return horizon and a 100-day window,MATRIX,100%,230,832
rsk62_5_100_ksrs,"Daily stock-specific idiosyncratic risk (risk ratio) for USA model, computed for a 5-day horizon using a 100-day rolling window, used in risk estimation",MATRIX,99%,107,185
rsk62_5_return,"Forward-looking asset return over a 5-day horizon per stock, used as the target in the risk-model regressions",MATRIX,100%,440,2301
rsk62_beta_1_100_banks,"Industry beta (exposure) for the Banks industry factor in the USA risk model (1-day horizon, 100-day trailing window)",MATRIX,58%,101,464
rsk62_beta_1_100_chemicals,"Industry beta (exposure) for the Chemicals industry factor in the USA risk model (1-day horizon, 100-day trailing window)",MATRIX,47%,119,550
rsk62_beta_1_100_commercialservices,"Industry beta (exposure) for the Commercial Services industry factor in the USA risk model (1-day horizon, 100-day trailing window)",MATRIX,39%,49,95
rsk62_beta_1_100_computers,"Industry beta (exposure) for the Computers industry factor in the USA risk model (1-day horizon, 100-day trailing window)",MATRIX,44%,43,111
rsk62_beta_1_100_curratio,"Regression beta coefficient for the Current Ratio style factor, estimated over a 100-day window using 1-day forward returns",MATRIX,100%,113,476
rsk62_beta_1_100_diversifiedfinanserv,"Industry beta (exposure) for the Diversified Financial Services industry factor in the USA risk model (1-day horizon, 100-day trailing window)",MATRIX,44%,50,189
rsk62_beta_1_100_dividend,"Regression beta coefficient for the Dividend Yield style factor, estimated over a 100-day window using 1-day forward returns",MATRIX,100%,71,235
rsk62_beta_1_100_electric,"Industry beta (exposure) for the Electric industry factor in the USA risk model (1-day horizon, 100-day trailing window)",MATRIX,66%,59,185
rsk62_beta_1_100_electronics,"Industry beta (exposure) for the Electronics industry factor in the USA risk model (1-day horizon, 100-day trailing window)",MATRIX,39%,46,92
rsk62_beta_1_100_food,"Industry beta (exposure) for the Food industry factor in the USA risk model (1-day horizon, 100-day trailing window)",MATRIX,59%,40,226
rsk62_beta_1_100_growth,"Regression beta coefficient for the Earnings Growth style factor, estimated over a 100-day window using 1-day forward returns",MATRIX,100%,101,433
rsk62_beta_1_100_healthcare_products,"Industry beta (exposure) for the Healthcare Products industry factor in the USA risk model (1-day horizon, 100-day trailing window)",MATRIX,53%,58,109
rsk62_beta_1_100_healthcare_services,"Industry beta (exposure) for the Healthcare Services industry factor in the USA risk model (1-day horizon, 100-day trailing window)",MATRIX,60%,49,170
rsk62_beta_1_100_insurance,"Industry beta (exposure) for the Insurance industry factor in the USA risk model (1-day horizon, 100-day trailing window)",MATRIX,50%,58,185
rsk62_beta_1_100_internet,"Industry beta (exposure) for the Internet industry factor in the USA risk model (1-day horizon, 100-day trailing window)",MATRIX,56%,26,55
rsk62_beta_1_100_logadv20,"Regression beta coefficient for the log of 20-day average dollar volume (liquidity) style factor, estimated over a 100-day window using 1-day forward returns",MATRIX,100%,80,261
rsk62_beta_1_100_logcap,"Regression beta coefficient for the log of market capitalization (size) style factor, estimated over a 100-day window using 1-day forward returns",MATRIX,100%,54,172
rsk62_beta_1_100_margin,"Regression beta coefficient for the profit margin (gross margin) style factor, estimated over a 100-day window using 1-day forward returns",MATRIX,100%,37,99
rsk62_beta_1_100_mining,"Industry beta (exposure) for the Mining industry factor in the USA risk model (1-day horizon, 100-day trailing window)",MATRIX,72%,33,57
rsk62_beta_1_100_miscellaneousmanufactur,"Industry beta (exposure) for the Miscellaneous Manufacturing industry factor in the USA risk model (1-day horizon, 100-day trailing window)",MATRIX,43%,31,56
rsk62_beta_1_100_mtl,ltm,MATRIX,100%,65,345
rsk62_beta_1_100_mts,"Regression beta coefficient for the short-term momentum style factor, estimated over a 100-day window using 1-day forward returns",MATRIX,100%,44,122
rsk62_beta_1_100_nipe,nipe,MATRIX,100%,56,382
rsk62_beta_1_100_oil_gas,"Industry beta (exposure) for the Oil & Gas industry factor in the USA risk model (1-day horizon, 100-day trailing window)",MATRIX,67%,19,157
rsk62_beta_1_100_pb,"Regression beta coefficient for the Book-to-Price style factor, estimated over a 100-day window using 1-day forward returns",MATRIX,100%,64,220
