Field,Description,Type,Coverage,Users,Alphas
confidence_five_quantile_prediction,Model confidence score for five-quantile classification of future returns.,MATRIX,100%,0,0
confidence_four_quantile_prediction,Model confidence score for four-quantile classification of future returns.,MATRIX,100%,0,0
confidence_hundred_quantile_prediction,Model confidence score for hundred-quantile classification of future returns.,MATRIX,100%,0,0
confidence_three_quantile_prediction,Model confidence score for three-quantile classification of future returns.,MATRIX,100%,0,0
confidence_two_quantile_prediction,Model confidence score for two-quantile classification of future returns.,MATRIX,100%,1,1
likelihood_fifth_quantile_five_day_bucket_four,"Probability that the five-day return falls in the fifth quantile, bucket four.",MATRIX,96%,1,1
likelihood_fifth_quantile_five_day_bucket_four_10,"Probability that the 5-day return falls in the fifth quantile, bucket 4.",MATRIX,96%,1,1
likelihood_fifth_quantile_five_day_bucket_four_3,"Probability that the stock falls into the fifth quantile for five-day return, bucket four.",MATRIX,100%,1,1
likelihood_fifth_quantile_five_day_bucket_four_31,"Probability that the five-day return falls in the fifth quantile, bucket four.",MATRIX,98%,2,2
likelihood_fifth_quantile_five_day_bucket_four_4,"Probability that the five-day return falls in the fifth quantile, bucket four.",MATRIX,96%,2,2
likelihood_fifth_quantile_five_day_bucket_four_5,"Probability that the next 5-day return falls in the fifth quantile, bucket 4.",MATRIX,100%,3,4
likelihood_fifth_quantile_five_day_bucket_four_8,"Probability that the 5-day return falls in the fifth quantile, bucket 4.",MATRIX,96%,1,1
likelihood_fifth_quantile_five_day_bucket_four_9,"Probability that the 5-day return falls in the fifth quantile, bucket 4.",MATRIX,96%,0,0
likelihood_fifth_quantile_five_day_bucket_one_3,"Probability that the five-day return falls in the fifth quantile, bucket one.",MATRIX,100%,0,0
likelihood_fifth_quantile_five_day_bucket_one_4,"Probability that the stock falls into the fifth quantile for five-day return, bucket one.",MATRIX,100%,1,1
likelihood_fifth_quantile_five_day_bucket_one_41,"Probability that the five-day return falls in the fifth quantile, bucket one.",MATRIX,96%,1,1
likelihood_fifth_quantile_five_day_bucket_one_5,"Probability that the next 5-day return falls in the fifth quantile, bucket 1.",MATRIX,100%,0,0
likelihood_fifth_quantile_five_day_bucket_one_8,"Probability that the 5-day return falls in the fifth quantile, bucket 1.",MATRIX,96%,0,0
likelihood_fifth_quantile_five_day_bucket_one_9,"Probability that the 5-day return falls in the fifth quantile, bucket 1.",MATRIX,96%,0,0
likelihood_fifth_quantile_five_day_bucket_three_3,"Probability that the stock falls into the fifth quantile for five-day return, bucket three.",MATRIX,96%,0,0
likelihood_fifth_quantile_five_day_bucket_three_31,"Probability that the five-day return falls in the fifth quantile, bucket three.",MATRIX,98%,0,0
likelihood_fifth_quantile_five_day_bucket_three_4,"Probability that the stock falls into the fifth quantile for five-day return, bucket three.",MATRIX,96%,0,0
likelihood_fifth_quantile_five_day_bucket_three_41,"Probability that the five-day return falls in the fifth quantile, bucket three.",MATRIX,96%,0,0
likelihood_fifth_quantile_five_day_bucket_three_5,"Probability that the next 5-day return falls in the fifth quantile, bucket 3.",MATRIX,96%,0,0
likelihood_fifth_quantile_five_day_bucket_three_7,"Probability that the next 5-day return falls in the fifth quantile, bucket 3.",MATRIX,96%,0,0
likelihood_fifth_quantile_five_day_bucket_three_9,"Probability that the 5-day return falls in the fifth quantile, bucket 3.",MATRIX,96%,0,0
likelihood_fifth_quantile_five_day_bucket_two_3,Probability that the stock is in the second bucket of the fifth quantile for five-day predicted returns.,MATRIX,96%,0,0
likelihood_fifth_quantile_five_day_bucket_two_31,"Probability that the stock falls into the fifth quantile for five-day return, bucket two.",MATRIX,96%,0,0
likelihood_fifth_quantile_five_day_bucket_two_32,"Probability that the five-day return falls in the fifth quantile, bucket two.",MATRIX,98%,0,0
likelihood_fifth_quantile_five_day_bucket_two_4,"Probability that the stock falls into the fifth quantile for five-day return, bucket two.",MATRIX,96%,0,0
